20MIC|33.1,23.4,33.1,0,0|38.1,29.0,17.6,-50.9,15.3
IINFO|11.4,0,0,0,0|2.9,-100.2,-3.7,-0.4,-15.0
BR3M|0,0,0,0,0|32.6,30.5,37.8,34.2,34.8
ARTI|26.8,23.5,24.5,23.7,0|28.7,28.8,26.2,24.3,0
ABAN|5.0,10.8,4.9,8.1,4.0|45.6,37.8,21.5,42.6,28.3
ABB|34.4,46.3,35.5,34.3,26.1|31.1,33.4,35.1,35.7,36.8
KNOL|30.0,25.0,24.6,28.8,28.6|30.8,34.4,32.6,33.5,35.4
ABGS|9.3,10.5,0,0,0|30.1,31.7,34.1,41.7,38.2
ACC|40.4,53.2,51.5,54.9,35.3|14.3,22.0,10.9,-2.8,20.4
ADEX|6.0,9.5,6.9,7.9,4.2|19.1,71.2,-63.9,13.0,7.6
MNDRA|18.2,12.3,11.9,9.8,7.9|9.0,2.3,12.0,7.1,10.4
ADPL|0,0,0,0,0|0,-25.9,78.8,0,-7.5
ADMT|10.1,0,0,0,0|34.4,173.6,26.8,4.5,33.9
IRYN|7.7,7.4,0.7,6.1,3.2|16.2,22.4,4.3,36.8,37.2
ADOR|39.0,48.3,-133.0,21.3,30.3|25.7,31.0,54.8,81.2,27.4
ADHT|50.2,49.5,45.7,49.1,53.9|35.4,33.9,38.2,25.2,34.8
ADIL|0,0,0,0,0|-0.1,42.9,11.6,5.4,-1.7
AEGS|26.5,28.4,34.0,39.8,28.7|20.9,23.2,45.3,33.9,14.1
AFTEK|0,0,0,0,0|6.1,5.6,10.8,2.8,0.2
TTEL|18.5,24.3,33.6,0,0|34.6,31.3,25.8,76.4,0.9
ITAT|11.7,11.6,11.4,13.2,21.0|28.5,31.1,25.4,17.6,34.6
AHLU|3.5,0,0,0,0|33.7,4.3,-0.1,-1.8,3.9
AIAE|15.7,17.9,17.4,17.5,40.0|28.3,27.2,27.3,27.5,29.2
AJPH|11.5,13.2,15.2,17.2,17.7|15.1,36.6,29.1,31.5,26.7
SHPRC|15.6,34.4,32.9,23.5,20.9|4.9,18.3,24.6,20.4,22.3
AKSHO|0,0,0,17.1,0|-71.1,5.3,0,0,2.9
ICI|37.0,37.5,36.5,170.6,233.0|20.4,20.8,18.1,21.6,26.2
ALMC|32.3,0,0,23.2,13.6|12.2,-26.9,12.7,-4.4,11.8
APLL|20.3,28.5,24.0,23.3,10.5|19.2,19.9,24.2,21.3,23.1
ALBK|16.1,24.8,11.5,14.4,0|0,0,0,0,0
ACGL|6.9,11.1,12.7,7.4,18.1|19.8,21.9,21.2,22.1,19.8
ADSL|4.8,4.4,12.3,0,0|18.7,21.5,51.7,45.3,-48.8
ALST|0,0,0,0,0|-2.9,-40.3,57.1,30.8,-14.0
ALTE|14.3,6.3,26.7,13.9,0|44.8,33.0,56.1,34.3,36.0
ABBA|40.0,36.6,40.8,38.0,0|32.8,34.9,44.0,41.0,37.7
ALSTM|26.5,51.2,39.4,38.2,59.5|33.7,36.5,34.1,29.2,36.4
AMAD|0,9.8,8.0,6.7,0|16.5,10.7,14.5,14.8,19.3
AMAR|7.5,15.0,15.0,15.0,14.8|32.8,31.4,31.2,32.0,32.3
ACTN|12.3,18.0,15.3,16.1,19.8|25.7,23.8,19.3,19.7,24.6
GACM|40.0,42.9,43.5,52.1,53.8|27.5,27.8,14.9,16.2,31.1
AATO|9.0,1.9,2.6,1.3,0|23.1,27.8,35.5,30.2,-25.4
ANRI|7.4,10.5,10.4,0,7.1|19.6,27.0,25.0,27.2,17.1
ANDBK|23.1,21.8,14.9,18.9,6.3|0,0,0,0,0
ADPE|0,23.9,14.2,0,0|36.5,31.0,32.6,16.5,15.1
AGEX|0,0,0,0,0|27.4,7.9,-6.3,16.3,-4.5
ANSH|5.3,6.2,3.6,10.9,16.5|33.6,35.6,28.6,37.4,41.4
ANSAL|7.7,0,0,0,0|36.0,66.9,82.7,60.4,42.8
APAR|19.7,18.5,22.5,27.2,0|16.3,26.7,30.0,31.8,25.9
APMI|9.4,10.3,15.7,20.2,22.9|37.0,35.4,33.2,35.6,34.4
