20MIC|14.6,19.1,6.9,-3.1,-3.5|0.7,1.0,1.1,0.9,1.2
IINFO|21.2,-33.9,-59.4,-67.4,217.3|1.2,1.9,2.4,3.9,-4.1
BR3M|10.7,8.0,6.1,13.4,19.9|0,0,0,0,0
ARTI|17.4,17.7,18.7,20.3,0|0.2,0.2,0.3,0.4,0
ABAN|16.8,8.0,12.5,6.5,10.1|6.8,5.4,4.3,3.8,2.8
ABB|7.3,5.3,6.7,8.1,10.0|0,0,0,0,0.2
KNOL|22.1,22.4,25.2,24.4,23.4|0,0,0,0,0
ABGS|19.6,15.0,12.4,6.2,-15.7|0.9,0.7,0.9,0.7,2.1
ACC|18.6,14.4,14.0,14.1,7.0|0.1,0,0,0,0
ADEX|9.4,7.5,9.3,7.6,7.8|2.5,2.3,2.1,2.2,0.5
MNDRA|22.9,25.4,19.8,21.5,21.7|3.2,1.6,1.3,1.3,1.2
ADPL|-4.8,-53.5,-4.4,-22.7,6.6|4.9,7.7,5.1,6.1,4.8
ADMT|20.5,1.4,5.6,2.6,-45.2|2.6,2.0,2.2,1.2,3.4
IRYN|11.8,11.3,109.2,11.6,14.0|0.7,0.9,1.1,1.2,1.7
ADOR|11.9,9.3,-3.0,15.7,10.3|0,0,0.1,0,0
ADHT|6.1,7.2,8.2,6.8,10.6|0.1,0.2,0.3,0.4,0.4
ADIL|-5.5,2.3,10.5,7.2,11.2|0.9,0.9,0.8,0.7,0.6
AEGS|23.3,16.9,6.8,10.8,17.4|0.5,0.3,0.3,0.4,0.3
AFTEK|2.9,4.8,-6.2,-4.4,-1.5|0.3,0,0,0,0
TTEL|13.7,5.0,19.7,1.2,-367.0|0,0,0,0,0
ITAT|17.9,17.4,17.1,15.1,11.8|0,0,0,0,0
AHLU|22.4,-16.8,-34.9,9.6,19.0|0.1,0.1,0.2,0.1,0
AIAE|14.6,14.9,18.7,20.7,18.6|0,0.1,0,0,0
AJPH|25.9,28.5,39.4,36.8,34.2|0.3,0.2,0.1,0,0
SHPRC|9.7,4.0,4.1,6.4,9.7|0.5,0.6,0.8,0.6,0.4
AKSHO|-15.0,5.6,6.7,5.8,6.2|0.2,0,0,0.2,0.2
ICI|16.1,16.2,14.0,19.8,17.7|0,0,0,0,0
ALMC|6.5,-6.2,-6.2,5.6,12.8|0.2,0,0,0.1,0.1
APLL|32.9,32.9,34.9,32.0,44.9|0.2,0.1,0.1,0,0
ALBK|17.4,10.5,9.9,5.0,-5.0|0,0,0,0,0
ACGL|14.1,19.1,10.7,8.3,12.6|0.1,0.3,0.2,0.3,0.2
ADSL|15.3,7.8,1.4,-0.7,1.4|0,0,0,0,0
ALST|-6.5,-17.1,1.9,-31.4,-22.9|0,0,0,0,0
ALTE|5.0,11.2,3.3,8.5,7.1|3.2,2.6,3.0,2.9,2.3
ABBA|24.2,22.9,24.8,18.1,-8.5|0,0,0,0,0
ALSTM|18.5,9.2,9.4,9.2,5.8|0,0.1,0,0,0
AMAD|17.5,17.9,18.4,18.0,17.3|0,0,0,0.1,0.2
AMAR|26.1,27.1,27.0,24.2,23.3|0.1,0.1,0.1,0,0
ACTN|12.2,14.1,18.5,17.0,13.3|0.5,0.3,0.1,0,0
GACM|15.2,14.7,13.5,14.8,8.0|0,0,0,0,0
AATO|4.5,9.4,5.9,10.9,-15.8|0.9,1.1,1.6,1.5,1.5
ANRI|6.6,4.5,3.0,2.7,2.5|0,0.2,0.3,0.3,0.2
ANDBK|19.2,17.8,15.2,5.0,6.3|0,0,0,0,0
ADPE|-3.3,19.0,14.1,1.4,-13.5|0.9,0.7,0.2,0.1,0.1
AGEX|2.0,2.6,-13.8,-3.9,-12.4|0.4,0.2,0.4,0.5,0.6
ANSH|9.7,9.6,11.7,10.5,6.6|0.4,0.4,0.6,0.8,0.7
ANSAL|6.2,0.3,0.3,0.4,1.3|0.4,0.4,0.4,0.5,0.7
APAR|14.0,17.5,12.9,6.8,18.9|0.1,0.1,0.1,0.1,0.1
APMI|11.0,9.3,14.4,12.7,10.5|0.2,0.1,0.1,0,0
APLH|8.7,11.1,10.6,10.7,9.6|0.2,0.4,0.4,0.5,0.7
APLO|14.5,18.0,22.0,19.4,17.7|0.6,0.5,0.2,0.1,0.1
APTTR|16.4,22.9,9.2,13.2,7.0|0,0,0,0,0
AQUA|19.8,9.2,4.3,0.2,0|0,0,0,0,0
ARCHI|11.1,9.0,6.3,4.6,3.8|0,0,0,0,0
IIDF|11.0,14.7,11.0,13.9,-14.6|0.1,0.8,1.7,2.4,2.3
AIPL|25.0,-7.1,-18.2,0.5,1.6|0.6,0.7,2.3,2.1,1.9
ARMI|21.5,11.0,13.7,12.5,12.5|0.4,0.4,0.5,0.5,0.5
ASAHI|-46.9,-108.3,-19.4,14.9,24.6|5.3,6.8,1.7,2.9,1.9
ASON|13.3,20.6,19.6,8.6,11.2|0,0.1,0.1,0.1,0.1
