20MIC|54.0,0.0,0.0,0.0,0.0,46.0,36.6
IINFO|6.8,0.0,54.6,0.0,0.0,38.6,0.0
BR3M|0.0,75.0,3.8,9.3,0.0,11.9,0.0
ARTI|55.0,0.0,13.0,2.0,0.0,30.0,0.0
ABAN|35.0,19.1,3.7,8.5,0.0,33.7,14.4
ABB|0.0,75.0,12.4,4.7,0.0,7.9,0.0
KNOL|0.0,75.0,7.9,0.1,0.0,17.1,0.0
ABGS|63.9,0.0,6.3,4.5,0.0,25.3,95.5
ACC|50.0,0.3,15.6,16.7,0.0,17.4,0.0
ADEX|66.4,8.6,0.8,20.5,0.0,3.7,17.8
MNDRA|49.8,6.4,14.4,23.9,0.0,5.5,0.0
ADPL|70.5,4.5,0.6,7.6,0.0,16.8,39.9
ADMT|64.7,0.0,4.9,4.8,0.0,25.6,27.3
IRYN|57.2,0.0,11.5,15.5,2.4,13.3,0.0
ADOR|56.3,0.4,13.5,0.0,0.0,29.8,0.0
ADHT|50.2,0.0,0.1,0.0,0.0,49.7,0.0
ADIL|59.3,6.0,0.0,21.9,0.0,12.8,0.0
AEGS|0.0,62.7,4.2,6.5,0.0,26.6,0.0
AFTEK|3.7,0.0,1.4,0.0,0.0,94.9,5.4
TTEL|0.0,75.0,1.2,7.0,0.0,16.8,100.0
ITAT|0.0,51.8,9.0,2.3,0.0,36.9,0.0
AHLU|72.6,0.0,2.4,12.6,0.0,12.5,29.5
AIAE|61.7,0.0,7.5,24.5,0.0,6.3,0.0
AJPH|73.8,0.0,1.6,7.6,0.0,17.0,4.4
SHPRC|62.9,0.0,0.0,0.0,0.0,37.2,7.9
AKSHO|16.9,12.9,0.0,2.0,5.8,62.4,0.0
ICI|0.0,73.0,9.7,2.3,0.0,15.1,0.0
ALMC|64.0,0.0,0.2,9.7,0.0,26.1,0.0
APLL|74.1,0.0,2.9,9.1,0.0,13.9,0.0
ALBK|58.9,0.0,17.9,8.1,0.0,15.1,0.0
ACGL|72.3,0.0,0.2,11.9,0.0,15.7,0.0
ADSL|44.0,0.0,0.0,0.1,0.0,56.0,0.0
ALST|35.3,0.0,3.3,34.1,0.0,27.3,0.0
ALTE|38.2,0.0,8.2,6.2,0.0,47.4,99.8
ABBA|0.0,68.6,14.8,1.2,0.0,15.5,0.0
ALSTM|68.5,6.5,15.3,1.2,0.0,8.5,0.0
AMAD|25.5,0.0,9.2,0.0,0.0,65.3,99.7
AMAR|20.5,31.5,9.5,16.9,0.0,21.5,1.3
ACTN|48.6,0.0,3.2,1.5,0.0,46.7,0.0
GACM|0.8,50.5,9.4,30.6,1.6,8.0,0.0
AATO|49.0,0.0,5.1,35.2,0.0,10.8,0.0
ANRI|63.4,0.0,2.1,14.7,0.2,19.6,0.0
ANDBK|60.1,0.0,10.9,11.5,0.0,17.4,0.0
ADPE|45.1,0.0,0.0,0.0,0.0,54.9,73.4
AGEX|49.8,0.0,0.0,1.4,0.0,48.8,39.2
ANSH|57.5,0.0,0.0,0.0,0.0,42.5,59.0
ANSAL|49.1,0.0,2.8,13.2,0.0,34.9,44.5
APAR|62.5,0.0,5.8,5.2,0.0,26.5,0.0
APMI|61.6,0.0,0.0,0.0,0.0,38.4,5.1
APLH|34.4,0.0,4.0,41.6,0.8,19.3,64.8
APLO|43.0,0.4,7.8,34.5,0.0,14.1,9.2
APTTR|35.8,0.0,0.1,8.3,0.0,55.8,3.5
AQUA|13.9,0.0,15.8,12.3,27.8,30.2,50.4
ARCHI|60.6,0.0,0.7,0.0,0.0,38.8,0.0
IIDF|44.6,0.0,2.3,12.9,0.0,40.2,95.5
AIPL|18.9,0.0,0.0,0.1,0.0,81.1,94.5
ARMI|43.8,0.0,14.2,22.8,0.2,19.0,0.4
ASAHI|30.8,22.2,0.0,0.2,0.0,46.8,10.7
ASON|62.3,0.0,0.0,0.0,0.0,37.7,0.0
ASHAP|48.9,0.0,0.2,18.1,0.0,32.8,69.8
ASHG|67.1,0.0,0.0,2.5,0.0,30.3,0.0
ASOK|0.0,38.8,12.1,20.4,12.4,16.4,13.1
ASHBL|67.5,0.0,12.4,3.7,0.0,16.4,0.0
ASEL|8.4,0.0,0.0,0.0,0.0,91.6,0.0
ASHT|9.7,65.3,2.7,0.1,0.0,22.3,95.7
ASPN|52.8,0.0,8.8,18.1,0.0,20.3,13.8
ASTM|17.0,1.1,23.4,0.1,0.0,58.4,0.0
ASTRAL|54.6,0.0,0.8,15.8,0.0,28.8,0.0
AIDL|0.0,75.0,0.3,15.7,0.0,9.1,0.0
ATLT|74.9,0.0,3.0,0.1,0.0,22.0,6.0
ATCY|44.7,0.0,0.3,0.3,0.0,54.7,0.0
ATAO|55.1,0.0,0.0,1.4,0.0,43.5,0.0
ATUL|50.6,0.0,6.3,1.5,0.0,41.7,2.9
APSL|13.1,18.8,1.1,0.7,0.0,66.3,56.6
AUBD|54.1,0.0,8.0,27.7,0.0,10.2,8.6
ASEG|34.7,0.0,0.1,0.1,0.0,65.1,0.0
AUCG|53.5,0.0,0.0,0.0,0.0,46.5,0.0
AUTOL|28.1,0.0,0.2,3.1,0.0,68.7,38.0
AUAX|35.5,35.5,12.5,0.1,0.0,16.4,0.0
AVFD|44.2,0.0,2.8,3.2,0.0,0.0,0.0
UTIB|29.5,0.0,10.0,48.8,3.3,8.4,0.0
BAJAU|49.2,0.0,10.6,15.0,0.0,25.1,0.1
BAJCL|66.9,0.0,1.6,24.5,0.0,7.1,0.0
BJEL|65.9,0.0,3.9,16.3,0.0,14.0,0.0
BJFN|61.6,0.0,7.1,12.2,0.0,19.1,0.0
BAFIN|58.9,0.0,6.7,9.0,0.0,25.4,0.0
BJHN|46.1,0.0,14.3,2.9,0.0,36.6,0.0
BALAJI|42.9,0.0,0.7,0.6,0.0,55.9,0.0
BLKH|58.3,0.0,15.9,14.2,0.0,11.6,0.0
BILT|49.4,0.0,14.3,16.9,0.0,19.4,21.8
BALW|0.0,0.0,11.2,3.2,0.0,85.6,0.0
CHINI|40.8,0.0,16.0,18.6,0.0,24.6,0.0
BPRD|30.3,37.6,3.4,3.7,0.0,25.0,0.0
BOB|56.3,0.0,16.6,15.6,0.0,11.5,0.0
BOI|66.7,0.0,15.5,10.2,0.0,7.7,0.0
BKMAH|85.2,0.0,7.1,0.5,0.0,7.3,0.0
BAAN|54.7,0.0,0.0,0.2,0.0,45.1,0.0
